"show_number","round","value","category","clue","answer","air_date"
9,1,100,"FICTION","Shakespeare's \"star-crossed\" lovers","Romeo and Juliet","1984-09-20"
9,1,100,"FIRST LADIES","She talked to Arnold's class about drugs on TV's \"Diff'rent Strokes\"","Nancy Reagan","1984-09-20"
9,1,100,"MYSTERIES","Dashiell Hammett detective played on the screen by Humphrey Bogart","Sam Spade","1984-09-20"
9,1,100,"RACY LADIES","Driving with a broken wrist, Janet Guthrie was the 1st woman to compete in this race","the Indianapolis 500","1984-09-20"
9,1,100,"ADDRESSES","The prime minister of England lives here","10 Downing Street","1984-09-20"
9,1,100,"TRIVIA","They were formerly called the Sandwich Islands","Hawaii","1984-09-20"
9,1,200,"FICTION","The \"lovable\" family of Peter Pan","the Darlings","1984-09-20"
9,1,200,"FIRST LADIES","One of her early suitors was her husband's arch rival, Stephen A. Douglas","Mary Todd Lincoln","1984-09-20"
9,1,200,"MYSTERIES","1st cousins Dannay & Lee wrote the Ellery Queen stories under this pen name","Ellery Queen","1984-09-20"
9,1,200,"RACY LADIES","Though a hot prospect in '80, Beth Heiden was frozen out of gold in this Olympic sport","speed skating","1984-09-20"
9,1,200,"ADDRESSES","Feathered friend who lives at 123½ Sesame Street","Big Bird","1984-09-20"
9,1,200,"TRIVIA","Number of blank tiles in a Scrabble set",2,"1984-09-20"
9,1,300,"FICTION","\"Cat on a Hot Tin Roof's\" portly patriarch","Big Daddy","1984-09-20"
9,1,300,"FIRST LADIES","Teddy's niece, her married & maiden names were the same","Eleanor Roosevelt","1984-09-20"
9,1,300,"MYSTERIES","This agency's symbol of an unblinking eye gave birth to the phrase \"private eye\"","the Pinkerton agency","1984-09-20"
9,1,300,"RACY LADIES","Never has to jockey for position as Mrs. Fred Astaire","Robyn Smith","1984-09-20"
9,1,300,"ADDRESSES","He shared digs with John Watson at 221-B Baker Street","Sherlock Holmes","1984-09-20"
9,1,300,"TRIVIA","Longest river in Canada or the SCTV bros.","the Mackenzie","1984-09-20"
9,1,400,"FICTION","The Philip Roth character with a \"complaint\"","Portnoy","1984-09-20"
9,1,400,"FIRST LADIES","Her tough Texas husband preferred her nickname to calling her Claudia Alta","Lady Bird Johnson","1984-09-20"
9,1,400,"MYSTERIES","She's Agatha Christie's ageless amateur detective","Miss (Jane) Marple","1984-09-20"
9,1,400,"ADDRESSES","\"Kookie\" Byrnes parked cars for Dino's Lodge","77 Sunset Strip","1984-09-20"
9,1,400,"TRIVIA","It's whom Boris Spassky lost the chess crown to in 1972","Bobby Fischer","1984-09-20"
9,1,500,"FICTION","Pasternak's Moscow medic","Dr. Zhivago","1984-09-20"
9,1,1000,"FIRST LADIES","She was expelled from Society of Friends for marrying non-Quaker 4th president","Dolley Madison","1984-09-20"
9,1,500,"MYSTERIES","Author of \"Burr\" who wrote chilling mysteries under the pen name Edgar Box","Gore Vidal","1984-09-20"
9,1,500,"ADDRESSES","You'd find this at 1313 S. Harbor Boulevard in Anaheim, CA","Disneyland","1984-09-20"
9,1,500,"TRIVIA","Awarded medal as \"1st woman to be killed in action\" in WWII: she was Gable's wife","Carole Lombard","1984-09-20"
9,2,200,"BLACK AMERICA","The first black in Big League Baseball","Jackie Robinson","1984-09-20"
9,2,200,"GRAMMAR","The adverb in \"think fast\"","fast","1984-09-20"
9,2,200,"BROTHERS & SISTERS","An \"easy rider\" whose sister played an easy lady in \"Klute\"","Peter Fonda","1984-09-20"
9,2,200,"GREEK MYTHOLOGY","Hilltop home of the gods","Mt. Olympus","1984-09-20"
9,2,200,"FOODS","\"Real men\" don't eat this French custard cheese pie","quiche","1984-09-20"
9,2,200,"SOVIET UNION","Largest Soviet newspaper, its name means \"Truth\"","Pravda","1984-09-20"
9,2,400,"BLACK AMERICA","Forced to give up crown as Miss America because of photos in \"Penthouse\"","Vanessa Williams","1984-09-20"
9,2,400,"GRAMMAR","The superlative form of good","best","1984-09-20"
9,2,400,"BROTHERS & SISTERS","In the Bible, Aaron was this brother's mouthpiece in dealing with Pharaoh","Moses","1984-09-20"
9,2,400,"GREEK MYTHOLOGY","He ultimately got \"fleeced\" by Medea","Jason","1984-09-20"
9,2,400,"FOODS","On the market since 1896, it wasn't until 1912 that they included prizes","Cracker-Jacks","1984-09-20"
9,2,400,"SOVIET UNION","Daughter of this Soviet ruler has been living in America since 1967","Stalin","1984-09-20"
9,2,600,"BLACK AMERICA","A symbol for black performers in film since the '50's, he won an Oscar as Best Actor in '63","Sidney Poitier","1984-09-20"
9,2,2000,"GRAMMAR","It can be common, proper, collective or concrete","a noun","1984-09-20"
9,2,600,"BROTHERS & SISTERS","Nursing mother who wouldn't make \"house calls\", she's Vanessa's sister","Lynn Redgrave","1984-09-20"
9,2,600,"GREEK MYTHOLOGY","A challenge to any optician, these giants had only one eye","cyclops","1984-09-20"
9,2,600,"SOVIET UNION","Soviet republic that has same name as an American state","Georgia","1984-09-20"
9,2,800,"BLACK AMERICA","As result of anti-slavery raid on Harper's Ferry, his \"body lies a moldering in the grave\"","John Brown","1984-09-20"
9,2,800,"GRAMMAR","3-letter ending of present participles & gerunds","-ing","1984-09-20"
9,2,800,"BROTHERS & SISTERS","Apollo's loving sister, sometimes served on the half shell","Venus","1984-09-20"
9,2,800,"GREEK MYTHOLOGY","A \"bull\" of a man, he lived in a labyrinth","the Minotaur","1984-09-20"
9,2,800,"SOVIET UNION","Soviet official who advocated using gasoline-filled bottles against Nazi tanks","Molotov","1984-09-20"
9,2,1000,"BLACK AMERICA","Harriet Tubman, who freed over 300 slaves, was 1 of its foremost \"conductors\"","the Underground Railroad","1984-09-20"
9,2,1000,"GRAMMAR","It comes at the end of a declarative sentence","a period","1984-09-20"
9,2,1000,"GREEK MYTHOLOGY","First member of the \"me\" generation, this youth fell in love with his own reflection","Narcissus","1984-09-20"
9,2,2000,"SOVIET UNION","Kenny Ball did <a href=\"http://www.j-archive.com/media/1984-09-27_DJ_24.mp3\">this</a> jazzed up version of an old Russian folk song","\"Midnight In Moscow\"","1984-09-20"
9,3,NULL,"SCIENCE","The mammal that holds the record for the longest lifespan","man","1984-09-20"
10,1,100,"GEOGRAPHY","Formerly Formosa","Taiwan","1984-09-21"
10,1,100,"DOUBLE TALK","Not a Hawaiian cow, but a dress worn by Hawaiian women","a muumuu","1984-09-21"
10,1,100,"\"JACKS\" OF ALL TRADES","He celebrated his 39th birthday 41 times","Jack Benny","1984-09-21"
10,1,100,"SHIPS","\"Unsinkable\" for most of its maiden voyage in 1912","the Titanic","1984-09-21"
10,1,100,"\"B\" MOVIES","In '61 movie, Audrey Hepburn's alternative to brunch in bed","Breakfast at Tiffany\\'s","1984-09-21"
10,1,100,"SPORTS","What Gary Player plays professionailly","golf","1984-09-21"
10,1,200,"GEOGRAPHY","Dutch is still an official language in what is now called Suriname","Dutch Guiana","1984-09-21"
10,1,200,"DOUBLE TALK","Affirmative reply to an admiral's command","aye-aye","1984-09-21"
10,1,200,"\"JACKS\" OF ALL TRADES","Between him & his wife, they licked the platter clean","Jack Spratt","1984-09-21"
10,1,200,"SHIPS","Merchant ship that made the trip in 1620 from Plymouth to Cape Cod","the Mayflower","1984-09-21"
10,1,200,"\"B\" MOVIES","Burt Lancaster film in which his only friends were feathered","The Birdman of Alcatraz","1984-09-21"
10,1,300,"GEOGRAPHY","8th most populous country in the world, this \"Bengal Nation\" was once East Pakistan","Bangladesh","1984-09-21"
10,1,300,"DOUBLE TALK","Adopted baby of Barney & Betty Rubble","Bamm-Bamm","1984-09-21"
10,1,300,"\"JACKS\" OF ALL TRADES","He didn't find gold in the Klondike, so he wrote \"The Call of the Wild\"","Jack London","1984-09-21"
10,1,300,"SHIPS","He entertained world leaders on his yacht \"Christina\"","(Aristotle) Onassis","1984-09-21"
10,1,300,"\"B\" MOVIES","Poignant movie in which Peter Sellers turned on the TV & tuned out the world","Being There","1984-09-21"
10,1,400,"GEOGRAPHY","First colony since 1776 to break from Britain without consent, it is now Zimbabwe","Rhodesia","1984-09-21"
10,1,400,"DOUBLE TALK","Washington's panda with pregnancy problems","Ling-Ling","1984-09-21"
10,1,400,"\"JACKS\" OF ALL TRADES","His nickname was the \"Manassa Mauler\"","Jack Dempsey","1984-09-21"
10,1,400,"SHIPS","Royal neighbor of the Spruce Goose","the Queen Mary","1984-09-21"
10,1,400,"\"B\" MOVIES","This title describes Carroll Baker's thumb-sucking character & nightie she wore","Baby Doll","1984-09-21"
10,1,500,"GEOGRAPHY","About 1/3 of Africa's Pygmy population lives in what was once Belgian Congo","Zaire","1984-09-21"
10,1,500,"DOUBLE TALK","British rockers whose name came from villain in sci-fi film \"Barbarella\"","Duran Duran","1984-09-21"
10,1,500,"\"JACKS\" OF ALL TRADES","2nd generation pop singer, he's sung on every \"Love Boat\" voyage","Jack Jones","1984-09-21"
10,1,500,"SHIPS","At some 500' long & with 9 masts, the \"Cheng Ho\" was largest of this kind","a junk","1984-09-21"
10,1,500,"\"B\" MOVIES","Sensitive Mart Crowley treatment of gays marching to a different drummer","The Boys in the Band","1984-09-21"
10,1,500,"SPORTS","Boxer whose life was portrayed in \"Somebody Up There Likes Me\"","Rocky Graziano","1984-09-21"
10,2,200,"LABOR UNIONS","Notorious labor leader missing since '75","Jimmy Hoffa","1984-09-21"
10,2,200,1789,"Washington proclaimed Nov. 26, 1789 this first national holiday","Thanksgiving","1984-09-21"
10,2,200,"TOURIST TRAPS","Both Ferde Grofe' & the Colorado River dug this national park","the Grand Canyon","1984-09-21"
10,2,200,"LITERATURE","Depending on the book, he could be a \"Jones\", a \"Sawyer\", or an \"Uncle\"","Tom","1984-09-21"
10,2,200,"HOMONYMS","Hindu hierarchy or a play's actors","a caste (cast)","1984-09-21"
10,2,200,"TV TRIVIA","Last season, this series mourned the loss of Sgt. Esterhaus","Hill Street Blues","1984-09-21"
10,2,400,1789,"Why April 28th was a bad day for Capt. Bligh","the day of the mutiny on the Bounty","1984-09-21"
10,2,400,"TOURIST TRAPS","Seaside resort that has a monopoly on East Coast gambling","Atlantic City, New Jersey","1984-09-21"
10,2,400,"LITERATURE","He wrote \"The 3 Musketeers\"; his son wrote \"Camille\"","(Alexandre) Dumas","1984-09-21"
10,2,400,"HOMONYMS","Near or a purchase","by (buy)","1984-09-21"
10,2,400,"TV TRIVIA","He went from the Ponderosa to the prairie","Michael Landon","1984-09-21"
10,2,600,"TOURIST TRAPS","Since '27, stars have made good impressions at this Hollywood site","Mann\\'s Chinese Theatre","1984-09-21"
10,2,600,"LITERATURE","Where you can't go again in Thomas Wolfe title","home","1984-09-21"
10,2,600,"HOMONYMS","A fixed look, or Ginger Rogers' partner","a stare (Astaire)","1984-09-21"
10,2,600,"TV TRIVIA","In 1970 he had a \"Goodtime Hour\"","Glen Campbell","1984-09-21"
10,2,800,"TOURIST TRAPS","A thrilling destination for tight-rope walkers & honeymooners","Niagara Falls","1984-09-21"
10,2,800,"LITERATURE","Irving's bird-like hero chased by the Headless Horseman","Ichabod Crane","1984-09-21"
10,2,1000,"HOMONYMS","Didn't see the fog","missed (mist)","1984-09-21"
10,2,800,"TV TRIVIA","Jackie Gleason show that rejected titles \"The Lovers\" & \"The Couple Next Door\"","The Honeymooners","1984-09-21"
10,2,1000,1789,"Now totaling over $1 trillion, it began 11 days after Treasury was established in 1789","the national debt","1984-09-21"
10,2,1000,"TOURIST TRAPS","Tourists know this Catholic mission as Davy Crockett's last stand","the Alamo","1984-09-21"
10,2,1000,"LITERATURE","Shaw's scorched saint","St. Joan of Arc","1984-09-21"
10,2,1000,"HOMONYMS","Where ships dock or what a jury consists of","piers (peers)","1984-09-21"
10,2,1000,"TV TRIVIA","In court, he'd always make mincemeat of Hamilton Burger","Perry Mason","1984-09-21"
10,3,NULL,"U.S. PRESIDENTS","Adventurous 26th president, he was 1st to ride in an automobile & an airplane","Theodore Roosevelt","1984-09-21"
11,1,100,"GAY '90S","By '97 they had air-filled rubber tires, coaster brakes & adjustable handlebars","bicycles","1984-09-24"
11,1,100,"POTENT POTABLES","In 1935 Kreuger's Cream Ale was the first beer sold in these","cans","1984-09-24"
11,1,100,"STATES IN SONG","It's where I came from with a banjo on my knee","Alabama","1984-09-24"
11,1,100,"OLD TESTAMENT","Delilah gave him a real trimming","Samson","1984-09-24"
11,1,100,"HOLIDAYS","Italian-American's have made this their equivalent of St. Patrick's Day","Columbus Day","1984-09-24"
11,1,100,"STARTS WITH \"Q\"","Klugman's coroner","Quincy","1984-09-24"
11,1,200,"GAY '90S","It sank in Havana Harbor & set off a war","the Maine","1984-09-24"
11,1,200,"POTENT POTABLES","Never swallowing, they sip, swish, gargle, then spit out what they sample","what wine tasters do","1984-09-24"
11,1,200,"STATES IN SONG","According to Beach Boys' hit, state with the cutest girls in the world","California","1984-09-24"
11,1,200,"OLD TESTAMENT","In Hebrew its name means \"Sea of Reeds\"","the Red Sea","1984-09-24"
11,1,200,"HOLIDAYS","Though we \"love\" his \"day\", he's been taken off calendar of saints","St. Valentine","1984-09-24"
11,1,200,"STARTS WITH \"Q\"","Hugo's hunchback","Quasimodo","1984-09-24"
11,1,300,"GAY '90S","On March 18, 1891, this mode of communication was inaugurated between London & Paris","the telephone","1984-09-24"
11,1,300,"POTENT POTABLES","This 19th century Philadelphia distiller's name became slang for liquor","Booze","1984-09-24"
11,1,300,"STATES IN SONG","State where you'd find Elvis' rain & Diamond's woman","Kentucky","1984-09-24"
11,1,300,"OLD TESTAMENT","Through sons Isaac & Ishmael both Jews & Arabs descend from him","Abraham","1984-09-24"
11,1,300,"HOLIDAYS","The eve of All Saints' Day","Halloween","1984-09-24"
11,1,300,"STARTS WITH \"Q\"","\"To be or not to be\"","the question","1984-09-24"
11,1,400,"POTENT POTABLES","Derived from Hindu word for \"5\", describing number of ingredients mixed in a large bowl","punch","1984-09-24"
11,1,400,"STATES IN SONG","The alternate lyrics to \"I've Been Working On The Railroad\"","\"The Eyes Of Texas\"","1984-09-24"
11,1,400,"OLD TESTAMENT","The name \"Palestine\" comes from these Biblical enemies of Israel","the Philistines","1984-09-24"
11,1,400,"HOLIDAYS","In colonial Massachusetts, Puritans made this Christian holiday illegal","Christmas","1984-09-24"
11,1,400,"STARTS WITH \"Q\"","Oldest city in Canada","Quebec","1984-09-24"
11,1,500,"POTENT POTABLES","C<sub>2</sub>H<sub>5</sub>OH","the formula for alcohol","1984-09-24"
11,1,500,"STATES IN SONG","Patti Page hit that is official song of a southern state","\"The Tennessee Waltz\"","1984-09-24"
11,1,500,"OLD TESTAMENT","Sorrowful O.T. prophet, his name now refers to predictors of doom","Jeremiah","1984-09-24"
11,1,500,"HOLIDAYS","Several Southern states celebrate <u>his</u> June 3rd birthday instead of Lincoln's","Jefferson Davis","1984-09-24"
11,1,500,"STARTS WITH \"Q\"","Popular name of the Religious Society of Friends","the Quakers","1984-09-24"
11,2,200,"U.S. HISTORY","In '63, 200,000 Washington marchers heard him say, \"I have a dream\"","Martin Luther King, Jr.","1984-09-24"
11,2,200,"SHAKESPEARE","Shakespeare's only comedy with \"comedy\" in the title","Comedy of Errors","1984-09-24"
11,2,200,"HOMONYMS","Dave Garroway's sign-off, or a slice of cake","peace (piece)","1984-09-24"
11,2,200,"TV TRIVIA","Every week this comedienne was \"so glad we had this time together\"","Carol Burnett","1984-09-24"
11,2,400,"U.S. HISTORY","The last occasion Congress declared war on any country","World War II","1984-09-24"
11,2,400,"SHAKESPEARE","In it, Puck comments: \"Lord, what fools these mortals be!\"","A Midsummer Night\\'s Dream","1984-09-24"
11,2,400,"HOMONYMS","What Oliver Twist wanted, or Susan Anton's diminutive date","more (Moore)","1984-09-24"
11,2,400,"TV TRIVIA","Richard Carlson \"led\" this number of lives as a communist counterspy & FBI agent",3,"1984-09-24"
11,2,600,"SHAKESPEARE","What Shylock demanded instead of interest","a pound of flesh","1984-09-24"
11,2,600,"HOMONYMS","Olympic swimmer, or what a tobacco chewer does into a spittoon","Spitz (spits)","1984-09-24"
11,2,600,"TV TRIVIA","Lucy & Desi's TV production company","Desilu","1984-09-24"
11,2,800,"U.S. HISTORY","Only state carried by George McGovern in '72 election","Massachusetts","1984-09-24"
11,2,800,"SHAKESPEARE","Completes the line \"If music be the food of love...\"","play on","1984-09-24"
11,2,800,"HOMONYMS","Expensive onion, or what happens when there's a hole in the bucket","leek (leak)","1984-09-24"
11,2,800,"LANDMARKS","Only 1 of the 7 wonders of the ancient world still standing","the Great Pyramid","1984-09-24"
11,2,800,"TV TRIVIA","Series which pitted \"CONTROL\" against \"KAOS\"","Get Smart","1984-09-24"
11,2,1000,"U.S. HISTORY","Justice Hugo Black, a leading supporter of school desegregation, was once member of this group","the KKK","1984-09-24"
11,2,1000,"SHAKESPEARE","Hamlet's closest friend, only major character left alive at play's end","Horatio","1984-09-24"
11,2,1000,"MUSICAL INSTRUMENTS","Plucked instrument brought to U.S. by slaves, now a fixture in bluegrass","the banjo","1984-09-24"
11,2,1000,"HOMONYMS","A peasant, or where you hang 10","serf (surf)","1984-09-24"
11,2,600,"LANDMARKS","Though unmarried & childless, he lives in the world's largest residential palace","the Pope","1984-09-24"
11,2,1000,"TV TRIVIA","Crooner who was 1st offered role of \"Columbo\" but turned it down because he didn't need the money","Bing Crosby","1984-09-24"
11,3,NULL,"TITLED HEADS","N.Y. financier Al Grimaldi is next in line for throne of this Mediterranean principality","Monaco","1984-09-24"
12,1,100,"WORLD CAPITALS","Costa Rican capital people might know the way to","San Jose","1984-09-25"
12,1,100,"FOODS","Southern specialty & America's favorite main dish","southern fried chicken","1984-09-25"
12,1,100,"SPORTS","Sport which uses epees, foils & sabres","fencing","1984-09-25"
12,1,100,"INVENTIONS","He invented the Franklin stove","Ben Franklin","1984-09-25"
12,1,100,"MAMMALS","Romans called this African beast a \"tiger horse\"","a zebra","1984-09-25"
12,1,100,"BEGINS WITH \"L\"","Erich Segal's \"story\"","Love Story","1984-09-25"
12,1,200,"WORLD CAPITALS","It's divided into the Kanda, Marunoucki, Asakusa & Ginza districts","Tokyo","1984-09-25"
12,1,200,"FOODS","Deli delight, from Yiddish for Ring","a bagel","1984-09-25"
12,1,200,"SPORTS","Name given to annual competition among U.S. amateur boxers","the Golden Gloves","1984-09-25"
12,1,200,"INVENTIONS","Detection of gamma rays was 1 of the uses for this 1947 instant picture taker","a Polaroid-Land camera","1984-09-25"
12,1,200,"MAMMALS","The only flying mammal","a bat","1984-09-25"
12,1,200,"BEGINS WITH \"L\"","An air bubble tells a carpenter if he's on it","a level","1984-09-25"
12,1,300,"WORLD CAPITALS","Home to NATO & little green sprouts","Brussels","1984-09-25"
12,1,300,"FOODS","Pickle men, not doctors, do this for bacon & ham","cure","1984-09-25"
12,1,300,"SPORTS","Number of downs allowed in Canadian football to advance the ball 10 yards",3,"1984-09-25"
12,1,300,"INVENTIONS","2,160 people at a time could ride on this at the 1893 Chicago World's Fair","a Ferris wheel","1984-09-25"
12,1,300,"MAMMALS","A black panther is really the black version of this cat","a leopard","1984-09-25"
12,1,300,"BEGINS WITH \"L\"","The L in L.P.G.A.","Ladies\\'","1984-09-25"
12,1,400,"WORLD CAPITALS","This capital's street signs are in English, Arabic & Hebrew","Jerusalem","1984-09-25"
12,1,300,"SPORTS","Because of WWII, these 2 NFL teams combined squads in '43 to become the \"Stegles\"","the Steelers and Eagles","1984-09-25"
12,1,400,"INVENTIONS","Edison suggested it be used to record phone calls & make clocks talk","the phonograph","1984-09-25"
12,1,400,"MAMMALS","Plays dead to escape predators, but one was close friends with an alligator","an opossum","1984-09-25"
12,1,400,"BEGINS WITH \"L\"","A, B, M, P, or Z, for example","letters","1984-09-25"
12,1,500,"WORLD CAPITALS","If the other twin had founded it, it might have been called \"Reme\"","Rome","1984-09-25"
12,1,500,"FOODS","East Indians who never ask \"Where's the beef?\"","Hindus","1984-09-25"
12,1,500,"SPORTS","Ex-Boston Celtics' star who has refused induction into Basketball Hall of Fame","Bill Russell","1984-09-25"
12,1,500,"INVENTIONS","The first patent pool was for this invention by Howe, Hunt & Singer","the sewing machine","1984-09-25"
12,1,500,"MAMMALS","Weighing 1½ tons per foot, this mammal generates up to 500 H.P. with its tail","the blue whale","1984-09-25"
12,1,500,"BEGINS WITH \"L\"","It's what bread has & matzo hasn't","leaven","1984-09-25"
12,2,200,"U.S. STATES","Its Mormon founders called it Deseret","Utah","1984-09-25"
12,2,200,"5-LETTER WORDS","Used by a carpenter, a master sergeant, & a dentist","a drill","1984-09-25"
12,2,200,"MUSIC","4th note of the musical scale or \"a long, long way to run\"","fa","1984-09-25"
12,2,200,"LAW","A second prosecution for the same offense, or this round","double jeopardy","1984-09-25"
12,2,200,"WEATHER","Condition associated with London & pea soup","fog","1984-09-25"
12,2,200,"MOVIE TRIVIA","Actress who spoke the immortal line, \"Love is never having to say you're sorry\"","Ali MacGraw","1984-09-25"
12,2,400,"U.S. STATES","The only state beginning with \"A\" that does not end in \"A\"","Arkansas","1984-09-25"
12,2,400,"5-LETTER WORDS","A lady's handbag or something done to lips before a kiss","purse","1984-09-25"
12,2,400,"MUSIC","Piano style sprung from the blues, it describes Bette's \"Bugle Boy\"","boogie-woogie","1984-09-25"
12,2,400,"WEATHER","Mt. Waialeale in Hawaii gets the most, while Calama, Chile, usually gets none","rain","1984-09-25"
12,2,400,"MOVIE TRIVIA","Mary Poppins' magical, musical tongue-twister","supercalifragilisticexpialidocious","1984-09-25"
12,2,600,"U.S. STATES","The only state to touch 4 of the Great Lakes","Michigan","1984-09-25"
12,2,600,"5-LETTER WORDS","A police wagon, a rice field, or author Chayefsky","\"paddy\"s","1984-09-25"
12,2,600,"MUSIC","Tyrolean trick of moving the voice from natural to falsetto","yodeling","1984-09-25"
12,2,600,"WEATHER","Its winds can reach 400 MPH","a tornado","1984-09-25"
12,2,600,"MOVIE TRIVIA","Actor who captained \"the mean machine\" in \"The Longest Yard\"","Burt Reynolds","1984-09-25"
12,2,800,"U.S. STATES","1 of 4 states that's officially a commonwealth","(1 of) Massachusetts, Kentucky, Pennsylvania, Virginia","1984-09-25"
12,2,800,"5-LETTER WORDS","To Hamlet, \"Frailty, thy name is\" this","woman","1984-09-25"
12,2,1900,"MUSIC","What we call <a href=\"http://www.j-archive.com/media/1984-10-02_DJ_09.mp3\">this</a> singing <u>sans</u> accompaniment:","a capella","1984-09-25"
12,2,800,"LAW","To avoid litigation, this type of insurance or divorce avoids affixing blame","no-fault","1984-09-25"
12,2,800,"WEATHER","Some hygrometers use a human hair to measure this","(relative) humidity","1984-09-25"
12,2,800,"MOVIE TRIVIA","Movie whose sequel was \"Class of '44\"","The Summer of \\'42","1984-09-25"
12,2,1000,"5-LETTER WORDS","In Czech, it's herec; in German, schauspieler; & in Hollywood, usually unemployed","an actor","1984-09-25"
12,2,1000,"MUSIC","Italian for \"first lady\", the leading opera singer in a company","a prima donna","1984-09-25"
12,2,1000,"LAW","While a summons asks nicely, this demands your appearance in court","a subpoena","1984-09-25"
12,2,1000,"WEATHER","Region near Equator that took the wind out of Sinbad's sails","the doldrums","1984-09-25"
12,2,1000,"MOVIE TRIVIA","This gimmick introduced for the film \"Scent of Mystery\" was something to be sniffed at","Smell-O-Vision","1984-09-25"
12,3,NULL,"RIVERS","It carries more water than the longest rivers in Asia, Africa & No. America combined","the Amazon","1984-09-25"
13,1,100,"ISLANDS","Owned by tiny Denmark, it's the world's largest island","Greenland","1984-09-26"
13,1,100,"SILLY SONGS","To treat it \"you're gonna need an ocean of calamine lotion\"","poison ivy","1984-09-26"
13,1,100,"MONEY","Currency where you'll find Lincoln's name on front & back","the five-dollar bill","1984-09-26"
13,1,100,1968,"South-of-the-border setting of the '68 Olympics","Mexico City","1984-09-26"
13,1,100,"TRIVIA","Rubber is an ingredient in this type of chewing gum","bubble gum","1984-09-26"
13,1,200,"ISLANDS","New York's largest, it has more people than 41 of our 50 states","Long Island","1984-09-26"
13,1,200,"SILLY SONGS","\"She was afraid to come out of the water\" because she wore this scanty outfit","an itsy bitsy teenie weenie yellow polka-dot bikini","1984-09-26"
13,1,200,"MONEY","4 little words carried on all U.S. currency","In God We Trust","1984-09-26"
13,1,200,1968,"First visual effects Oscar went to Kubrick's look 33 years into the future","2001: A Space Odyssey","1984-09-26"
13,1,200,"TRIVIA","Easter creature created by Gene Autry in '55 hit record","Peter Cottontail","1984-09-26"
13,1,300,"ISLANDS","Until 1949 a Dutch colony, now the world's most populous island nation","Indonesia","1984-09-26"
13,1,500,"SILLY SONGS","He offered <a href=\"http://www.j-archive.com/media/1984-10-03_J_14.mp3\">this</a> prescription:","the Witch Doctor","1984-09-26"
13,1,300,"MONEY","Replaced Adams in the presidency & the Indian on the nickel","Thomas Jefferson","1984-09-26"
13,1,300,1968,"Camelot \"ended\" when Jackie married him","Aristotle Onassis","1984-09-26"
13,1,300,"TRIVIA","Though a northern state, N.J. didn't abolish it until 1860","slavery","1984-09-26"
13,1,400,"ISLANDS","Made up of over 7,000 islands, only Far East country with a Roman Catholic majority","the Philippines","1984-09-26"
13,1,400,"SILLY SONGS","Herman's Hermits' song about widow whose 8 husbands all had the same name","\"Henry the Eighth\"","1984-09-26"
13,1,400,"MONEY","The only U.S. coin with the Presidential Seal","the fifty-cent piece","1984-09-26"
13,1,400,1968,"He broke S. Africa's race barrier by transplanting black man's heart into white body","Christiaan Barnard","1984-09-26"
13,1,400,"TRIVIA","U.S. coin 97.6% zinc","the penny","1984-09-26"
13,1,500,"SILLY SONGS","According to Ray Stevens, \"He swings through the trees without a trapeze in his B.V.D.'s\"","Gitarzan","1984-09-26"
13,1,500,1968,"After 11 months in captivity, crew of this ship was released by N. Koreans","the Pueblo","1984-09-26"
13,1,500,"TRIVIA","Ohio City named for an ancestor of the 24th president","Cleveland","1984-09-26"
13,2,200,"BRITISH HISTORY","Though historians debate it, she's called \"The Virgin Queen\"","Elizabeth I","1984-09-26"
13,2,200,"INVENTIONS","\"The mother of invention\"","necessity","1984-09-26"
13,2,200,"WOMEN AUTHORS","Judith Krantz \"princess\" who reigned in novel & mini-series","Princess Daisy","1984-09-26"
13,2,200,"BASEBALL","A 1939 college baseball game was the first sports event shown on this medium","television","1984-09-26"
13,2,200,"SCULPTURE","His only signed work is the \"Pieta\" in the Vatican","Michelangelo","1984-09-26"
13,2,200,"\"NICK\" NAMES","You can call me \"merry\" or you can call me \"hairy\" but you doesn't has to call me \"Santa\"","Saint Nicholas","1984-09-26"
13,2,400,"INVENTIONS","Country credited with invention of pasta, porcelain, & paper","China","1984-09-26"
13,2,400,"WOMEN AUTHORS","Playwright Edward Albee asked \"Who's afraid of\" this respected British novelist","Virginia Woolf","1984-09-26"
13,2,400,"BASEBALL","The Metropolitan Museum of Art has 200,000 of them","baseball trading cards","1984-09-26"
13,2,400,"SCULPTURE","A gold statue of Prometheus towers over the ice rink of this N.Y.C. landmark","Rockefeller Center","1984-09-26"
13,2,400,"\"NICK\" NAMES","When John Wayne always arrived with the cavalry","in the nick of time","1984-09-26"
13,2,2000,"BRITISH HISTORY","Of Henry VIII's six wives, the number that lost their heads over him",2,"1984-09-26"
13,2,600,"INVENTIONS","Tissue originally used as a WWI gas filter, but now literally something to sneeze at","Kleenex","1984-09-26"
13,2,600,"WOMEN AUTHORS","Colleen McCullough's Australian saga","The Thorn Birds","1984-09-26"
13,2,2000,"BASEBALL","1 of 3 Major League Baseball teams with state rather than city names","(1 of) California Angels, Texas Rangers, Minnesota Twins","1984-09-26"
13,2,600,"SCULPTURE","\"Disarming\" statue unearthed by peasant of Greek island of Melos in 1820","the Venus de Milo","1984-09-26"
13,2,600,"\"NICK\" NAMES","Things are never \"hoop\" less for this Manhattan team","the New York Knicks","1984-09-26"
13,2,800,"INVENTIONS","1st developed for the blind, they've become the most widely used business machine","the typewriter","1984-09-26"
